干場名,緯度,経度,干場群
H_2563_1893,45.2563989,141.1893575,干場群13_北
H_2565_1899,45.2565726,141.1899583,干場群13_北
H_2581_1934,45.2581336,141.1934075,干場群13_北
H_2579_1933,45.2579048,141.1933233,干場群13_北
H_2575_1930,45.2575895,141.1930146,干場群13_北
H_2574_1919,45.2574384,141.1919687,干場群13_北
H_2581_1945,45.258163,141.1945494,干場群13_北
H_2579_1957,45.2579451,141.195735,干場群13_北
H_2579_1966,45.2579463,141.1966851,干場群13_北
H_2575_1968,45.257528,141.1968466,干場群13_北
H_2479_2191,45.24793,141.2191086,干場群14_北
H_2478_2195,45.2478847,141.2195726,干場群14_北
H_2480_2198,45.2480376,141.2198462,干場群14_北
H_2477_2203,45.2477271,141.2203331,干場群14_北
H_2467_2209,45.2467619,141.2209986,干場群14_北
H_2464_2216,45.2464662,141.2216058,干場群14_北
H_2463_2219,45.2463148,141.2219816,干場群14_北
H_2446_2262,45.2446982,141.2262474,干場群14_北
H_2449_2267,45.244904,141.2267682,干場群14_北
H_2451_2270,45.245108,141.2270471,干場群14_北
H_2449_2271,45.2449474,141.2271061,干場群14_北
H_2393_2280,45.2393215,141.2280094,干場群14_北
H_2337_2369,45.2337791,141.2369709,干場群15_北
H_2342_2390,45.2342601,141.2390011,干場群15_北
H_2339_2382,45.2339095,141.2382436,干場群15_北
H_2331_2380,45.2331577,141.2380102,干場群15_北
H_2339_2388,45.2339941,141.238894,干場群15_北
H_2344_2393,45.2344229,141.2393335,干場群15_北
H_2343_2407,45.2343285,141.2407067,干場群15_北
H_2340_2417,45.2340382,141.2417412,干場群15_北
H_2337_2418,45.2337851,141.2418753,干場群15_北
H_2339_2435,45.2339622,141.2435604,干場群15_北
H_2337_2440,45.2337844,141.2440412,干場群15_北
H_2341_2459,45.2341015,141.2459467,干場群15_北
H_2336_2570,45.2336527,141.2570902,干場群09_北
H_2308_2619,45.230855,141.2619475,干場群09_北
H_2295_2716,45.2295769,141.2716298,干場群09_北
H_2310_2788,45.2310321,141.2788517,干場群09_北
H_2301_2772,45.230104,141.27726,干場群09_北
H_2341_2689,45.2341459,141.2689975,干場群09_北
H_2345_2687,45.2345161,141.2687186,干場群09_北
H_2349_2692,45.2349392,141.2692443,干場群09_北
H_2336_2735,45.2336033,141.273556,干場群09_北
H_2339_2724,45.2339094,141.2724089,干場群09_北
H_2335_2755,45.2335589,141.2755405,干場群09_北
H_2328_2750,45.2328752,141.2750577,干場群09_北
H_2324_2761,45.2324163,141.276199,干場群09_北
H_2247_2802,45.2247828,141.2802683,干場群09_北
H_2239_2811,45.2239435,141.2811209,干場群09_北
H_2237_2808,45.2237319,141.2808312,干場群09_北
H_2227_2836,45.2227795,141.2836497,干場群09_北
H_2221_2854,45.2221875,141.2854324,干場群09_北
H_2224_2845,45.2224066,141.2845634,干場群09_北
H_2218_2852,45.2218248,141.2852661,干場群09_北
H_2215_2856,45.2215376,141.2856577,干場群09_北
H_2220_2862,45.2220439,141.286221,干場群09_北
H_2219_2868,45.2219079,141.2868433,干場群09_北
H_2210_2904,45.2210151,141.2904494,干場群09_北
H_2199_2928,45.219963,141.2928647,干場群09_北
H_2204_2938,45.2204618,141.2938303,干場群09_北
H_2214_2893,45.221457,141.2893312,干場群09_北
H_2210_2890,45.2210388,141.2890304,干場群09_北
H_2193_2959,45.2193194,141.2959867,干場群09_北
H_2194_2962,45.2194176,141.2962013,干場群09_北
H_2040_3104,45.2040524,141.3104559,干場群16_北
H_2042_3110,45.2042659,141.3110326,干場群16_北
H_1953_3176,45.1953685,141.3176299,干場群17_北
H_1950_3176,45.1950056,141.3176728,干場群17_北
H_1947_3177,45.1947542,141.3177935,干場群17_北
H_1946_3173,45.1946346,141.3173819,干場群17_北
H_1940_3177,45.1940268,141.317736,干場群17_北
H_1451_3204,45.1451173,141.3204306,干場群18_南
H_1442_3184,45.1442677,141.3184243,干場群18_南
H_1361_3088,45.1361111,141.3088355,干場群19_南
H_1370_3094,45.137052,141.3094106,干場群19_南
H_1367_3096,45.1367493,141.3096145,干場群19_南
H_1285_3022,45.1285684,141.3022085,干場群19_南
H_1278_3025,45.1278291,141.3025525,干場群19_南
H_1274_3032,45.1274206,141.3032061,干場群19_南
H_1135_2852,45.1135576,141.2852805,干場群20_南
H_1131_2857,45.1131534,141.2857969,干場群20_南
H_1110_2765,45.1110214,141.2765827,干場群06_南
H_1120_2760,45.1120335,141.276079,干場群06_南
H_1110_2758,45.1110778,141.2758374,干場群06_南
H_1109_2760,45.1109604,141.276001,干場群06_南
H_1109_2745,45.1109264,141.2745775,干場群06_南
H_1103_2721,45.1103838,141.2721514,干場群06_南
H_1093_2722,45.1093235,141.2722929,干場群06_南
H_1089_2721,45.1089222,141.2721856,干場群06_南
H_1048_2519,45.1048553,141.2519053,干場群21_南
H_1040_2502,45.1040639,141.250253,干場群21_南
H_1037_2486,45.1037247,141.2486332,干場群21_南
H_1034_2485,45.1034294,141.2485286,干場群21_南
H_1025_2483,45.1025111,141.2483481,干場群21_南
H_1021_2473,45.1021947,141.247311,干場群21_南
H_0988_2398,45.0988214,141.2398858,干場群03_南
H_0988_2393,45.0988451,141.2393708,干場群03_南
H_0980_2384,45.0980579,141.2384079,干場群03_南
H_0976_2378,45.0976072,141.2378178,干場群03_南
H_0978_2363,45.0978959,141.2363079,干場群03_南
H_0982_2358,45.0982545,141.2358986,干場群03_南
H_0988_2353,45.0988753,141.2353402,干場群03_南
H_0989_2335,45.0989786,141.2335938,干場群03_南
H_0985_2332,45.098564,141.2332933,干場群03_南
H_0993_2312,45.0993577,141.2312092,干場群03_南
H_0996_2286,45.0996921,141.228644,干場群03_南
H_1000_2307,45.100083,141.2307556,干場群03_南
H_0999_2310,45.0999335,141.2310079,干場群03_南
H_1002_2305,45.1002115,141.2305065,干場群03_南
H_1013_2289,45.1013171,141.2289152,干場群03_南
H_1021_2294,45.1021501,141.2294408,干場群03_南
H_1052_2278,45.1052855,141.2278468,干場群03_南
H_1058_2269,45.1058005,141.2269617,干場群03_南
H_1058_2266,45.105861,141.2266559,干場群03_南
H_1064_2264,45.1064435,141.2264297,干場群03_南
H_1059_2261,45.1059702,141.2261239,干場群03_南
H_1061_2255,45.1061591,141.2255371,干場群03_南
H_1079_2225,45.1079586,141.2225588,干場群03_南
H_1064_2224,45.1064667,141.2224071,干場群03_南
H_1064_2209,45.1064436,141.2209367,干場群03_南
H_1067_2201,45.1067276,141.2201696,干場群03_南
H_1068_2198,45.1068639,141.2198209,干場群03_南
H_1076_2188,45.1076646,141.218891,干場群03_南
H_1080_2187,45.1080022,141.2187599,干場群03_南
H_1099_2183,45.1099756,141.218347,干場群03_南
H_1113_2168,45.1113909,141.2168461,干場群03_南
H_1105_2154,45.1105336,141.2154636,干場群03_南
H_1107_2152,45.1107242,141.2152221,干場群03_南
H_1112_2148,45.1112163,141.214868,干場群03_南
H_1109_2141,45.1109702,141.2141438,干場群03_南
H_1135_2085,45.1135127,141.2085382,干場群03_南
H_1138_2086,45.1138382,141.208667,干場群03_南
H_1157_2040,45.1157831,141.2040999,干場群03_南
H_1156_2027,45.1156135,141.2027696,干場群03_南
H_1159_2022,45.1159627,141.2022511,干場群03_南
H_1163_2023,45.1163905,141.2023047,干場群03_南
H_1168_2021,45.1168902,141.202176,干場群03_南
H_1202_1987,45.1202539,141.1987064,干場群03_南
H_1261_1871,45.1261867,141.1871998,干場群04_南
H_1254_1910,45.1254663,141.1910171,干場群04_南
H_1274_1829,45.1274371,141.182984,干場群04_南
H_1275_1824,45.1275998,141.1824476,干場群04_南
H_1360_1691,45.1360732,141.1691658,干場群22_南
H_1364_1688,45.1364516,141.1688868,干場群22_南
H_1370_1684,45.1370722,141.168404,干場群22_南
H_1386_1658,45.1386527,141.165883,干場群22_南
H_1484_1578,45.1484215,141.1578882,干場群23_南
H_1488_1568,45.1488286,141.1568409,干場群23_南
H_1517_1528,45.151713,141.152844,干場群23_南
H_1624_1426,45.1624446,141.1426244,干場群02_南
H_1630_1426,45.1630233,141.1426459,干場群02_南
H_1637_1420,45.163794,141.1420934,干場群02_南
H_1698_1385,45.1698969,141.1385708,干場群01_北
H_1704_1384,45.1704874,141.1384103,干場群01_北
H_1719_1390,45.1719407,141.1390031,干場群01_北
H_1721_1390,45.1721789,141.1390943,干場群01_北
H_1723_1388,45.1723075,141.1388261,干場群01_北
H_1725_1392,45.1725647,141.1392606,干場群01_北
H_1745_1387,45.1745589,141.1387238,干場群01_北
H_1790_1377,45.1790034,141.1377481,干場群01_北
H_1788_1372,45.1788408,141.1372921,干場群01_北
H_1798_1396,45.1798377,141.139647,干場群01_北
H_1799_1392,45.1799133,141.1392124,干場群01_北
H_1804_1404,45.1804171,141.1404971,干場群01_北
H_1818_1416,45.1818894,141.141604,干場群01_北
H_1811_1399,45.1811051,141.1399778,干場群01_北
H_1817_1402,45.1817422,141.1402608,干場群01_北
H_1836_1371,45.1836457,141.1371968,干場群01_北
H_1883_1394,45.1883009,141.1394494,干場群01_北
H_1782_1394,45.1782154,141.1394976,干場群01_北
H_1359_3112,45.1359889,141.3112589,干場群19_南
H_1127_2865,45.1127594,141.2865226,干場群20_南
H_1087_2725,45.1087049,141.2725681,干場群06_南
H_1071_2182,45.1071109,141.2182966,干場群03_南
H_1132_2088,45.1132505,141.2088686,干場群03_南
H_1544_1510,45.1544086,141.1510617,干場群23_南
H_1885_1351,45.1885151,141.1351124,干場群01_北
H_1629_1421,45.1629892,141.1421148,干場群02_南
H_2052_1384,45.2052096,141.1384087,干場群11_北
H_2426_1741,45.2426801,141.1741546,干場群10_北
H_2512_1861,45.2512927,141.186103,干場群10_北
H_2426_2307,45.2426319,141.230738,干場群14_北
H_2256_2798,45.2256531,141.2798945,干場群09_北
H_2182_1377,45.2182693,141.1377479,干場群11_北
H_1835_1367,45.1835456,141.1367007,干場群01_北
H_1835_1363,45.1835834,141.1363493,干場群01_北
H_1838_1349,45.1838904,141.134998,干場群01_北
H_1834_1386,45.1834255,141.1386249,干場群01_北
H_1795_1395,45.1795258,141.1395881,干場群01_北
H_1795_1393,45.1795069,141.1393681,干場群01_北
H_1762_1377,45.1762629,141.1377278,干場群01_北
H_1490_1564,45.1490644,141.1564134,干場群23_南
H_1376_1662,45.1376793,141.166274,干場群22_南
H_1352_1690,45.1352972,141.1690933,干場群22_南
H_1356_1687,45.1356264,141.1687017,干場群22_南
H_1364_1676,45.1364546,141.1676095,干場群22_南
H_1362_1681,45.1362881,141.1681353,干場群22_南
H_1279_1806,45.1279996,141.180658,干場群04_南
H_1266_1851,45.1266709,141.18514,干場群04_南
H_1190_2001,45.1190237,141.2001839,干場群03_南
H_1187_2006,45.1187323,141.2006667,干場群03_南
H_1155_2039,45.115509,141.2039961,干場群03_南
H_1154_2050,45.1154598,141.2050234,干場群03_南
H_1152_2053,45.115263,141.2053721,干場群03_南
H_1150_2053,45.1150699,141.205356,干場群03_南
H_1131_2104,45.1131045,141.2104698,干場群03_南
H_1125_2109,45.1125215,141.2109204,干場群03_南
H_1121_2106,45.1121695,141.2106951,干場群03_南
H_1072_2189,45.1072161,141.2189003,干場群03_南
H_1054_2274,45.1054103,141.2274857,干場群03_南
H_0986_2371,45.0986909,141.237183,干場群03_南
H_0983_2378,45.0983485,141.2378509,干場群03_南
H_1132_2845,45.1132552,141.28455,干場群20_南
H_1142_2856,45.1142836,141.2856837,干場群20_南
H_1144_2856,45.1144161,141.2856904,干場群20_南
H_1150_2859,45.1150648,141.2859724,干場群20_南
H_1152_2861,45.1152692,141.2861105,干場群20_南
H_1158_2868,45.1158224,141.286849,干場群20_南
H_1302_3047,45.1302484,141.3047225,干場群19_南
H_1304_3063,45.1304074,141.3063238,干場群19_南
H_1338_3064,45.1338215,141.3064824,干場群19_南
H_1351_3093,45.1351708,141.3093172,干場群19_南
H_1540_3282,45.1540826,141.328278,干場群07_南
H_1567_3281,45.1567282,141.3281503,干場群07_南
H_1742_3256,45.1742397,141.3256546,干場群24_北
H_1753_3251,45.1753987,141.3251336,干場群24_北
H_1778_3244,45.1778217,141.324457,干場群24_北
H_1893_3209,45.1893588,141.3209405,干場群25_北
H_2031_3110,45.2031365,141.3110767,干場群16_北
H_2079_3079,45.2079224,141.3079776,干場群16_北
H_2201_2935,45.2201345,141.2935349,干場群09_北
H_2227_2825,45.2227253,141.2825291,干場群09_北
H_2285_2795,45.2285744,141.2795595,干場群09_北
H_2286_2789,45.2286084,141.2789346,干場群09_北
H_2289_2791,45.2289031,141.2791304,干場群09_北
H_2291_2795,45.2291147,141.2795005,干場群09_北
H_2290_2784,45.2290731,141.2784035,干場群09_北
H_2293_2788,45.2293262,141.2788997,干場群09_北
H_2303_2784,45.2303186,141.2784865,干場群09_北
H_2306_2783,45.2306511,141.2783337,干場群09_北
H_2310_2782,45.2310828,141.2782263,干場群09_北
H_2306_2774,45.2306823,141.2774055,干場群09_北
H_2333_2728,45.2333984,141.2728951,干場群09_北
H_2334_2721,45.2334664,141.2721763,干場群09_北
H_2338_2721,45.2338328,141.2721387,干場群09_北
H_2336_2709,45.2336399,141.2709148,干場群09_北
H_2343_2707,45.2343497,141.2707242,干場群09_北
H_2335_2702,45.2335381,141.2702816,干場群09_北
H_2335_2699,45.2335683,141.2699598,干場群09_北
H_2333_2698,45.2333266,141.2698847,干場群09_北
H_2334_2676,45.2334409,141.2676698,干場群09_北
H_2320_2676,45.2320281,141.2676805,干場群09_北
H_2312_2687,45.2312126,141.2687881,干場群09_北
